detection,date,time
person,2024-05-17,17-18-37
bottle,2024-05-17,17-18-37
person,2024-05-17,17-18-37
person,2024-05-17,17-18-38
person,2024-05-17,17-18-38
laptop,2024-05-17,17-18-38
person,2024-05-17,17-18-38
person,2024-05-17,17-18-38
laptop,2024-05-17,17-18-38
person,2024-05-17,17-18-38
person,2024-05-17,17-18-38
person,2024-05-17,17-18-39
person,2024-05-17,17-18-39
laptop,2024-05-17,17-18-39
person,2024-05-17,17-18-39
person,2024-05-17,17-18-39
person,2024-05-17,17-18-39
bottle,2024-05-17,17-18-39
person,2024-05-17,17-18-39
bottle,2024-05-17,17-18-39
cup,2024-05-17,17-18-39
laptop,2024-05-17,17-18-39
person,2024-05-17,17-18-39
bottle,2024-05-17,17-18-39
bottle,2024-05-17,17-18-39
laptop,2024-05-17,17-18-39
laptop,2024-05-17,17-18-39
person,2024-05-17,17-18-39
bottle,2024-05-17,17-18-39
bottle,2024-05-17,17-18-39
laptop,2024-05-17,17-18-39
person,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
laptop,2024-05-17,17-18-40
person,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
laptop,2024-05-17,17-18-40
person,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
laptop,2024-05-17,17-18-40
person,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
laptop,2024-05-17,17-18-40
person,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
laptop,2024-05-17,17-18-40
person,2024-05-17,17-18-40
person,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
bottle,2024-05-17,17-18-40
laptop,2024-05-17,17-18-40
person,2024-05-17,17-18-41
person,2024-05-17,17-18-41
laptop,2024-05-17,17-18-41
person,2024-05-17,17-18-41
laptop,2024-05-17,17-18-41
person,2024-05-17,17-18-41
chair,2024-05-17,17-18-41
person,2024-05-17,17-18-41
person,2024-05-17,17-18-41
chair,2024-05-17,17-18-41
person,2024-05-17,17-18-41
laptop,2024-05-17,17-18-41
person,2024-05-17,17-18-42
laptop,2024-05-17,17-18-42
laptop,2024-05-17,17-18-42
person,2024-05-17,17-18-42
chair,2024-05-17,17-18-42
laptop,2024-05-17,17-18-42
person,2024-05-17,17-18-42
chair,2024-05-17,17-18-42
person,2024-05-17,17-18-42
chair,2024-05-17,17-18-42
person,2024-05-17,17-18-42
person,2024-05-17,17-18-43
person,2024-05-17,17-18-43
chair,2024-05-17,17-18-43
person,2024-05-17,17-18-43
laptop,2024-05-17,17-18-43
person,2024-05-17,17-18-43
laptop,2024-05-17,17-18-43
person,2024-05-17,17-18-43
laptop,2024-05-17,17-18-43
laptop,2024-05-17,17-18-43
person,2024-05-17,17-18-43
laptop,2024-05-17,17-18-43
person,2024-05-17,17-18-44
laptop,2024-05-17,17-18-44
person,2024-05-17,17-18-44
laptop,2024-05-17,17-18-44
laptop,2024-05-17,17-18-44
person,2024-05-17,17-18-44
laptop,2024-05-17,17-18-44
person,2024-05-17,17-18-44
chair,2024-05-17,17-18-44
laptop,2024-05-17,17-18-44
person,2024-05-17,17-18-44
chair,2024-05-17,17-18-44
person,2024-05-17,17-18-44
chair,2024-05-17,17-18-44
person,2024-05-17,17-18-45
chair,2024-05-17,17-18-45
person,2024-05-17,17-18-45
chair,2024-05-17,17-18-45
person,2024-05-17,17-18-45
chair,2024-05-17,17-18-45
chair,2024-05-17,17-18-45
person,2024-05-17,17-18-45
chair,2024-05-17,17-18-45
person,2024-05-17,17-18-45
chair,2024-05-17,17-18-45
person,2024-05-17,17-18-45
chair,2024-05-17,17-18-45
person,2024-05-17,17-18-46
chair,2024-05-17,17-18-46
person,2024-05-17,17-18-46
chair,2024-05-17,17-18-46
person,2024-05-17,17-18-46
chair,2024-05-17,17-18-46
chair,2024-05-17,17-18-46
person,2024-05-17,17-18-46
chair,2024-05-17,17-18-46
person,2024-05-17,17-18-46
chair,2024-05-17,17-18-46
person,2024-05-17,17-18-47
chair,2024-05-17,17-18-47
person,2024-05-17,17-18-47
person,2024-05-17,17-18-47
chair,2024-05-17,17-18-47
person,2024-05-17,17-18-47
person,2024-05-17,17-18-47
chair,2024-05-17,17-18-47
person,2024-05-17,17-18-47
chair,2024-05-17,17-18-47
person,2024-05-17,17-18-47
chair,2024-05-17,17-18-47
person,2024-05-17,17-18-47
chair,2024-05-17,17-18-47
chair,2024-05-17,17-18-48
person,2024-05-17,17-18-48
chair,2024-05-17,17-18-48
person,2024-05-17,17-18-48
chair,2024-05-17,17-18-48
person,2024-05-17,17-18-48
person,2024-05-17,17-18-48
chair,2024-05-17,17-18-48
person,2024-05-17,17-18-48
person,2024-05-17,17-18-49
person,2024-05-17,17-18-49
chair,2024-05-17,17-18-49
person,2024-05-17,17-18-49
chair,2024-05-17,17-18-49
person,2024-05-17,17-18-49
chair,2024-05-17,17-18-49
person,2024-05-17,17-18-49
chair,2024-05-17,17-18-49
person,2024-05-17,17-18-50
chair,2024-05-17,17-18-50
person,2024-05-17,17-18-50
chair,2024-05-17,17-18-50
person,2024-05-17,17-18-50
person,2024-05-17,17-18-50
chair,2024-05-17,17-18-50
person,2024-05-17,17-18-50
chair,2024-05-17,17-18-50
person,2024-05-17,17-18-50
person,2024-05-17,17-18-50
chair,2024-05-17,17-18-50
person,2024-05-17,17-18-50
person,2024-05-17,17-18-50
chair,2024-05-17,17-18-50
person,2024-05-17,17-18-51
chair,2024-05-17,17-18-51
person,2024-05-17,17-18-51
person,2024-05-17,17-18-51
chair,2024-05-17,17-18-51
person,2024-05-17,17-18-51
chair,2024-05-17,17-18-51
person,2024-05-17,17-18-51
chair,2024-05-17,17-18-51
chair,2024-05-17,17-18-51
person,2024-05-17,17-18-51
person,2024-05-17,17-18-51
chair,2024-05-17,17-18-51
chair,2024-05-17,17-18-51
person,2024-05-17,17-18-51
chair,2024-05-17,17-18-51
person,2024-05-17,17-18-52
chair,2024-05-17,17-18-52
person,2024-05-17,17-18-52
chair,2024-05-17,17-18-52
person,2024-05-17,17-18-52
chair,2024-05-17,17-18-52
person,2024-05-17,17-18-52
chair,2024-05-17,17-18-52
person,2024-05-17,17-18-52
person,2024-05-17,17-18-52
chair,2024-05-17,17-18-52
person,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
person,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
person,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
person,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
person,2024-05-17,17-18-53
person,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
person,2024-05-17,17-18-53
chair,2024-05-17,17-18-53
person,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
person,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
person,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
person,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
person,2024-05-17,17-18-54
cake,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
person,2024-05-17,17-18-54
chair,2024-05-17,17-18-54
person,2024-05-17,17-18-55
cake,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
person,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
person,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
person,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
person,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
person,2024-05-17,17-18-55
chair,2024-05-17,17-18-55
person,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
person,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
person,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
person,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
person,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
chair,2024-05-17,17-18-56
person,2024-05-17,17-18-57
chair,2024-05-17,17-18-57
chair,2024-05-17,17-18-57
person,2024-05-17,17-18-57
bottle,2024-05-17,17-18-57
bottle,2024-05-17,17-18-57
person,2024-05-17,17-18-57
chair,2024-05-17,17-18-57
person,2024-05-17,17-18-57
chair,2024-05-17,17-18-57
person,2024-05-17,17-18-57
person,2024-05-17,17-18-57
person,2024-05-17,17-18-57
dog,2024-05-17,17-18-57
person,2024-05-17,17-18-58
bottle,2024-05-17,17-18-58
person,2024-05-17,17-18-58
bottle,2024-05-17,17-18-58
person,2024-05-17,17-18-58
person,2024-05-17,17-18-58
person,2024-05-17,17-18-58
chair,2024-05-17,17-18-58
person,2024-05-17,17-18-58
person,2024-05-17,17-18-58
laptop,2024-05-17,17-18-58
laptop,2024-05-17,17-18-58
person,2024-05-17,17-18-59
laptop,2024-05-17,17-18-59
person,2024-05-17,17-18-59
laptop,2024-05-17,17-18-59
laptop,2024-05-17,17-18-59
person,2024-05-17,17-18-59
laptop,2024-05-17,17-18-59
person,2024-05-17,17-18-59
laptop,2024-05-17,17-18-59
person,2024-05-17,17-18-59
laptop,2024-05-17,17-18-59
person,2024-05-17,17-18-59
laptop,2024-05-17,17-18-59
person,2024-05-17,17-19-00
person,2024-05-17,17-19-00
person,2024-05-17,17-19-00
laptop,2024-05-17,17-19-00
person,2024-05-17,17-19-00
person,2024-05-17,17-19-00
person,2024-05-17,17-19-00
person,2024-05-17,17-19-00
chair,2024-05-17,17-19-00
person,2024-05-17,17-19-01
person,2024-05-17,17-19-01
chair,2024-05-17,17-19-01
person,2024-05-17,17-19-01
person,2024-05-17,17-19-01
person,2024-05-17,17-19-01
chair,2024-05-17,17-19-01
person,2024-05-17,17-19-01
person,2024-05-17,17-19-01
person,2024-05-17,17-19-01
person,2024-05-17,17-19-01
person,2024-05-17,17-19-02
person,2024-05-17,17-19-02
person,2024-05-17,17-19-02
person,2024-05-17,17-19-02
person,2024-05-17,17-19-02
teddy bear,2024-05-17,17-19-02
person,2024-05-17,17-19-02
person,2024-05-17,17-19-02
person,2024-05-17,17-19-02
person,2024-05-17,17-19-02
person,2024-05-17,17-19-02
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
bottle,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-03
person,2024-05-17,17-19-04
person,2024-05-17,17-19-04
person,2024-05-17,17-19-04
person,2024-05-17,17-19-04
tie,2024-05-17,17-19-04
person,2024-05-17,17-19-04
